Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165.6,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,133.3,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,104.3,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,OTHER (COMBINED) COUNTIES,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,131.3,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,110.2,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,150.9,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,109,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,124.1,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,OTHER (COMBINED) COUNTIES,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,114.3,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,137.2,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,129.4,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,175.4,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130.9,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,151.7,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,123.3,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149.7,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,OTHER (COMBINED) COUNTIES,,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,125.4,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,162,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,172.7,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,171.8,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160.7,
SURVEY,2019,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,179.9,
