Date	,Precipitation (mm)	,Max Temp (C)	,Min Temp (C)	,Snowfall (mm)	,Snow Depth(mm)
2019-01-01	,0.0	,10.000000000000002	,-0.9285714285714287	,0.0	,None
2019-01-02	,0.0	,11.500000000000002	,-1.1714285714285717	,0.0	,None
2019-01-03	,0.0	,13.5	,-1.4142857142857146	,0.0	,None
2019-01-04	,0.0	,15.642857142857146	,-0.3857142857142859	,0.0	,None
2019-01-05	,20.625	,15.642857142857144	,3.0000000000000013	,0.0	,None
2019-01-06	,84.28571428571428	,13.485714285714286	,3.5000000000000004	,0.0	,None
2019-01-07	,108.00000000000001	,15.400000000000002	,6.271428571428572	,0.0	,None
2019-01-08	,3.4375	,17.842857142857145	,8.185714285714287	,0.0	,None
2019-01-09	,24.849999999999998	,17.000000000000004	,9.12857142857143	,0.0	,None
2019-01-10	,23.421052631578952	,15.314285714285717	,6.02857142857143	,0.0	,None
2019-01-11	,0.375	,15.871428571428574	,5.085714285714286	,0.0	,None
2019-01-12	,0.0	,16.814285714285713	,5.1571428571428575	,0.0	,None
2019-01-13	,1.5624999999999998	,17.3	,4.2857142857142865	,0.0	,None
2019-01-14	,7.3125	,15.414285714285716	,5.171428571428573	,0.0	,None
2019-01-15	,31.700000000000006	,14.285714285714286	,6.9	,0.0	,None
2019-01-16	,47.7	,16.014285714285716	,11.25714285714286	,0.0	,None
2019-01-17	,153.04999999999998	,16.428571428571434	,11.528571428571428	,0.0	,None
2019-01-18	,47.36842105263157	,16.914285714285718	,8.485714285714288	,0.0	,None
2019-01-19	,0.0	,17.614285714285717	,7.200000000000001	,0.0	,None
2019-01-20	,19.5625	,18.01428571428572	,7.371428571428574	,0.0	,None
2019-01-21	,66.5	,15.528571428571432	,5.3999999999999995	,0.0	,None
2019-01-22	,1.3125	,13.171428571428574	,1.5	,0.0	,None
2019-01-23	,0.0	,14.271428571428572	,1.2714285714285716	,0.0	,None
2019-01-24	,0.0	,15.166666666666668	,2.116666666666667	,0.0	,None
2019-01-25	,0.0	,16.6	,2.371428571428572	,0.0	,None
2019-01-26	,0.0	,17.08571428571429	,3.5142857142857147	,0.0	,None
2019-01-27	,0.0	,17.942857142857147	,3.657142857142858	,0.0	,None
2019-01-28	,0.0	,18.34285714285715	,5.142857142857143	,0.0	,None
2019-01-29	,0.0	,17.714285714285715	,6.42857142857143	,0.0	,None
2019-01-30	,1.2500000000000002	,18.642857142857146	,8.071428571428571	,0.0	,None
2019-01-31	,28.83333333333334	,18.01428571428572	,8.828571428571431	,0.0	,None
2019-02-01	,23.157894736842103	,16.500000000000004	,8.585714285714285	,0.0	,None
2019-02-02	,88.26315789473686	,16.28571428571429	,9.12857142857143	,0.0	,None
2019-02-03	,143.29999999999998	,16.442857142857147	,8.014285714285716	,0.0	,None
2019-02-04	,91.52631578947367	,14.685714285714287	,5.214285714285715	,0.0	,None
2019-02-05	,91.15789473684211	,11.585714285714287	,1.0142857142857147	,0.0	,None
2019-02-06	,5.105263157894737	,10.642857142857142	,-1.1857142857142857	,0.0	,None
2019-02-07	,0.0	,12.300000000000002	,-0.08571428571428563	,0.0	,None
2019-02-08	,14.529411764705882	,13.742857142857146	,-0.4000000000000001	,0.0	,None
2019-02-09	,69.55555555555556	,13.600000000000001	,4.166666666666668	,0.0	,None
2019-02-10	,69.94736842105262	,10.857142857142861	,2.4000000000000004	,1.666666666666667	,None
2019-02-11	,32.61111111111112	,11.757142857142858	,-0.7714285714285715	,0.0	,None
2019-02-12	,5.352941176470588	,13.428571428571429	,-0.24285714285714283	,0.0	,None
2019-02-13	,23.764705882352942	,17.0	,8.17142857142857	,0.0	,None
2019-02-14	,27.578947368421044	,19.271428571428576	,8.642857142857142	,0.0	,None
2019-02-15	,64.36842105263159	,14.214285714285714	,6.028571428571429	,0.0	,None
2019-02-16	,107.15789473684212	,11.742857142857144	,2.2142857142857144	,0.0	,None
2019-02-17	,86.57894736842107	,11.014285714285716	,1.4142857142857144	,4.333333333333334	,None
2019-02-18	,39.56250000000001	,11.514285714285716	,-0.4000000000000001	,0.0	,None
