Date	,Precipitation (mm)	,Max Temp (C)	,Min Temp (C)	,Snowfall (mm)	,Snow Depth(mm)	,Cold Stress Events	,Heat Stress Events
2019-12-30	,0.6454545454545455	,13.98	,3.440000000000001	,0.0	,None	,3.440000000000001	,None
2019-12-31	,0.0	,13.660000000000004	,2.2	,0.0	,None	,2.2	,None
2020-01-01	,0.0	,15.000000000000002	,3.4400000000000004	,0.0	,None	,3.4400000000000004	,None
2020-01-02	,0.0	,15.24	,4.1	,0.0	,None	,4.1	,None
2020-01-03	,0.0	,15.000000000000004	,3.9800000000000004	,0.0	,None	,3.9800000000000004	,None
2020-01-04	,0.02727272727272727	,16.980000000000004	,4.22	,0.0	,None	,4.22	,None
2020-01-05	,0.02727272727272728	,16.0	,3.8999999999999995	,0.0	,None	,3.8999999999999995	,None
2020-01-06	,0.0	,12.900000000000002	,1.0	,0.0	,None	,1.0	,None
2020-01-07	,0.0	,10.68	,1.1	,0.0	,None	,1.1	,None
2020-01-08	,0.02727272727272727	,12.440000000000001	,3.5600000000000005	,0.0	,None	,3.5600000000000005	,None
2020-01-09	,9.88571428571429	,10.56	,3.88	,0.0	,None	,3.88	,None
2020-01-10	,9.816666666666665	,11.320000000000002	,0.54	,0.0	,None	,0.54	,None
2020-01-11	,1.8833333333333335	,12.880000000000003	,3.7800000000000002	,0.0	,None	,3.7800000000000002	,None
2020-01-12	,0.2	,11.9	,1.34	,0.0	,None	,1.34	,None
2020-01-13	,0.03333333333333334	,12.340000000000002	,2.66	,0.0	,None	,2.66	,None
2020-01-14	,4.53	,12.760000000000002	,3.66	,0.0	,None	,3.66	,None
2020-01-15	,0.3333333333333333	,11.56	,1.2200000000000002	,0.0	,None	,1.2200000000000002	,None
2020-01-16	,2.2	,11.12	,3.0	,0.0	,None	,3.0	,None
2020-01-17	,21.180000000000007	,11.8	,2.76	,0.0	,None	,2.76	,None
2020-01-18	,0.029999999999999995	,10.340000000000002	,3.12	,0.0	,None	,3.12	,None
2020-01-19	,0.0	,10.440000000000001	,3.68	,0.0	,None	,3.68	,None
2020-01-20	,0.0	,12.000000000000004	,5.0	,0.0	,None	,5.0	,None
2020-01-21	,0.02727272727272727	,15.320000000000002	,6.320000000000001	,0.0	,None	,6.320000000000001	,None
2020-01-22	,1.2833333333333337	,14.0	,8.34	,0.0	,None	,8.34	,None
2020-01-23	,0.0	,15.32	,6.22	,0.0	,None	,6.22	,None
2020-01-24	,0.03333333333333333	,17.54	,6.6400000000000015	,0.0	,None	,6.6400000000000015	,None
2020-01-25	,0.0	,17.22	,6.88	,0.0	,None	,6.88	,None
2020-01-26	,4.2	,17.68	,7.32	,0.0	,None	,7.32	,None
2020-01-27	,1.5636363636363637	,16.78	,5.46	,0.0	,None	,5.46	,None
2020-01-28	,0.0	,17.12	,5.44	,0.0	,None	,5.44	,None
2020-01-29	,0.0	,16.78	,4.980000000000001	,0.0	,None	,4.980000000000001	,None
2020-01-30	,0.0	,16.46	,4.780000000000001	,0.0	,None	,4.780000000000001	,None
