Date	,Precipitation (mm)	,Max Temp (C)	,Min Temp (C)	,Snowfall (mm)	,Snow Depth(mm)	,Cold Stress Events	,Heat Stress Events
2019-12-11	,0.03571428571428572	,13.32	,4.340000000000001	,0.0	,None	,4.340000000000001	,None
2019-12-12	,0.5125	,14.725000000000001	,6.75	,0.0	,None	,6.75	,None
2019-12-13	,0.10714285714285715	,15.670000000000002	,8.23	,0.0	,None	,8.23	,None
2019-12-14	,17.947058823529414	,11.610000000000003	,5.730000000000001	,0.0	,None	,5.730000000000001	,None
2019-12-15	,2.9062499999999996	,10.669999999999998	,1.12	,5.1	,None	,1.12	,None
2019-12-16	,0.0	,9.680000000000003	,-0.51	,0.0	,None	,-0.51	,None
2019-12-17	,0.0	,10.77	,0.039999999999999925	,0.0	,None	,0.039999999999999925	,None
2019-12-18	,0.08333333333333333	,11.940000000000001	,2.84	,0.0	,None	,2.84	,None
2019-12-19	,0.0	,13.466666666666667	,2.6000000000000005	,0.0	,None	,2.6000000000000005	,None
2019-12-20	,0.0	,13.85	,2.67	,0.0	,None	,2.67	,None
2019-12-21	,0.0	,16.770000000000003	,4.779999999999999	,0.0	,None	,4.779999999999999	,None
2019-12-22	,0.0	,15.960000000000004	,6.210000000000002	,0.0	,None	,6.210000000000002	,None
2019-12-23	,47.41666666666667	,11.320000000000002	,5.18	,8.500000000000002	,None	,5.18	,None
2019-12-24	,17.133333333333336	,8.72	,2.89	,0.0	,None	,2.89	,None
2019-12-25	,0.1375	,8.510000000000002	,2.17	,1.8571428571428574	,None	,2.17	,None
2019-12-26	,0.0	,9.450000000000001	,2.2700000000000005	,0.0	,None	,2.2700000000000005	,None
2019-12-27	,0.0	,10.390000000000002	,-0.6200000000000001	,0.0	,None	,-0.6200000000000001	,None
2019-12-28	,0.0	,9.84	,0.09999999999999976	,0.0	,None	,0.09999999999999976	,None
2019-12-29	,0.0	,10.550000000000002	,0.9499999999999997	,0.0	,None	,0.9499999999999997	,None
2019-12-30	,0.275	,11.930000000000001	,1.49	,0.0	,None	,1.49	,None
2019-12-31	,0.0	,12.060000000000004	,1.21	,0.0	,None	,1.21	,None
2020-01-01	,0.0	,13.040000000000004	,1.8900000000000001	,0.0	,None	,1.8900000000000001	,None
2020-01-02	,0.0	,13.34	,2.1599999999999997	,0.0	,None	,2.1599999999999997	,None
2020-01-03	,0.0	,14.170000000000002	,2.98	,0.0	,None	,2.98	,None
2020-01-04	,0.0	,16.66	,3.34	,0.0	,None	,3.34	,None
2020-01-05	,0.0	,14.66	,2.72	,0.0	,None	,2.72	,None
2020-01-06	,0.0	,12.000000000000002	,0.72	,0.0	,None	,0.72	,None
2020-01-07	,0.0	,12.74	,0.45999999999999985	,0.0	,None	,0.45999999999999985	,None
2020-01-08	,0.09166666666666666	,12.450000000000003	,0.43999999999999984	,0.0	,None	,0.43999999999999984	,None
2020-01-09	,3.5000000000000004	,9.770000000000003	,1.11	,1.6250000000000002	,None	,1.11	,None
2020-01-10	,8.811764705882354	,9.389999999999999	,-0.7100000000000004	,0.0	,None	,-0.7100000000000004	,None
